group_name,unit,crater_count,lat_band,min_lat,max_lat,model_age,model_age_sigma,model_erosion,model_erosion_sigma,model_erosion_025CI,model_erosion_975CI
eHh6,eHh,1644,6,0.0,17.0,3.7452477852875,0.005853881442505421,0.7597303766831527,1.575441562136913,4.216968111771327e-5,5.570737372025501
lNh3,lNh,6661,3,-51.0,-34.0,3.7718534261816554,0.008298734149743733,35.261424249705684,7.684192342079245,21.289279981734673,50.76881071890004
Hto7,Hto,1410,7,17.0,34.0,3.6524655272822724,0.007341794905362597,0.662750730155031,1.4232755311015992,5.1812585426645384e-5,4.6418185709614725
mNhm6,mNhm,1129,6,0.0,17.0,3.9060306759617167,0.01972655624956801,128.39700925270972,27.12071665559978,81.5506749960411,186.90634215205623
lHl9,lHl,11066,9,51.0,68.0,3.660296600039805,0.0069354819876170735,112.43543508410974,6.640576340414362,100.09731832307384,125.59546691463895
AHv7,AHv,6432,7,17.0,34.0,3.6299825595899673,0.006289301835514716,4.132006684920596e-14,8.603794013689959e-16,3.991827825921337e-14,4.267911505349743e-14
lNh8,lNh,1231,8,34.0,51.0,3.6839797143598365,0.016740040256761405,7.979606044457264,12.317686314004964,0.00013630904244870095,42.79752880557048
HNt5,HNt,1934,5,-17.0,0.0,3.8170017916270664,0.014643267940915113,68.28317561347244,15.673148492368766,40.182055387544146,99.67057799184239
lHl8,lHl,5364,8,34.0,51.0,3.584827953066441,0.014121653387623218,16.41759338031964,8.661628061073552,0.0332415607024229,33.16570875488509
lNh5,lNh,5760,5,-17.0,0.0,3.8094191413355922,0.006509467588379425,4.016406449151463,5.425921242213411,0.00019639035839327367,18.465167716692314
eHv6,eHv,4557,6,0.0,17.0,3.750181707519984,0.004415659130555634,1.3732748980276164,2.620210289055797,8.396923729160777e-5,9.575170757617276
eHh7,eHh,1774,7,17.0,34.0,3.7248121004232,0.005969567430752558,0.6927517174970942,1.4592100302747142,5.313079323990074e-5,5.038158964543022
lNh6,lNh,1305,6,0.0,17.0,3.8627245308709517,0.017382184826123984,100.46701034680419,21.165646053282735,61.49271836955983,144.5699006489401
mNhm3,mNhm,2089,3,-51.0,-34.0,3.9051522715494875,0.02221437688331642,341.7590972740589,57.07777300190228,255.44926221298144,481.7743596249854
