Shape_Length,Shape_Area,Unit,UnitDesc,SphArea_km,OBJECTID,SUM_SphArea_km
11195743.151831168681383,594806157141.902587890625000,mNh,Middle Noachian highland unit,722597.8750000,40,32313488.187866210937500
629498.324489162652753,24758156837.668872833251953,AHi,Amazonian and Hesperian impact unit,30284.0214844,2,7913061.843505859375000
507022.113448679330759,15251864297.767686843872070,AHi,Amazonian and Hesperian impact unit,18644.4609375,2,7913061.843505859375000
676772.315190835972317,20449385153.759296417236328,AHv,Amazonian and Hesperian volcanic,25006.4375000,4,13213999.766845703125000
390738.525598753476515,4984500624.543642044067383,HNt,Hesperian and Noachian transition unit,6087.5947266,19,2889481.606689453125000
556815.010267641860992,18088656963.444965362548828,AHi,Amazonian and Hesperian impact unit,22120.2148438,2,7913061.843505859375000
910704.405056139919907,52587277787.071983337402344,lHv,Late Hesperian volcanic unit,64350.2812500,35,2391023.202148437500000
1229827.160484251333401,60704105996.194801330566406,lAa,Late Amazonian apron unit,74288.5781250,27,285947.158203125000000
6848320.574324668385088,480966651990.404663085937500,eHv,Early Hesperian volcanic unit,588485.7500000,14,5791988.775878906250000
334829.722616259357892,7898120553.824724197387695,AHi,Amazonian and Hesperian impact unit,9645.6269531,2,7913061.843505859375000
249619.752350716909859,3856209256.917395114898682,mNhm,Middle Noachian highland massif unit,4707.7812500,41,1873161.479003906250000
3052605.876341595780104,132489026188.221084594726562,eHt,Early Hesperian transition unit,162322.2500000,13,3688018.222167968750000
425681.753700026543811,12088626459.115797042846680,AHi,Amazonian and Hesperian impact unit,14764.1367188,2,7913061.843505859375000
706066.801466091303155,16941333556.246826171875000,lAvf,Late Amazonian volcanic field unit,20705.3574219,31,312533.448242187500000
649525.050462194136344,22377866621.763267517089844,eNh,Early Noachian highland unit,27339.2968750,15,14599337.820922851562500
403617.388096164911985,9968647271.608200073242188,lHt,Late Hesperian transition unit,12169.8535156,34,2345022.695800781250000
338088.738651619118173,6325932842.453303337097168,AHi,Amazonian and Hesperian impact unit,7719.5947266,2,7913061.843505859375000
489640.871983999328222,15001127727.763078689575195,AHi,Amazonian and Hesperian impact unit,18315.1699219,2,7913061.843505859375000
797601.967430048855022,15307120606.730983734130859,HNt,Hesperian and Noachian transition unit,18707.7636719,19,2889481.606689453125000
1428028.823635303182527,38026538478.688949584960938,Ht,Hesperian transition unit,46558.9179688,23,910149.268066406250000
316518.607001503813080,4400214822.822484970092773,Ht,Hesperian transition unit,5368.2050781,23,910149.268066406250000
2344179.967193707823753,110334780109.419692993164062,eHv,Early Hesperian volcanic unit,135075.2656250,14,5791988.775878906250000
12402295.142915070056915,476050203034.677246093750000,mNh,Middle Noachian highland unit,581680.9375000,40,32313488.187866210937500
733977.693085127277300,29612891514.089241027832031,eNh,Early Noachian highland unit,36155.3281250,15,14599337.820922851562500
570258.269022478605621,11045790754.748098373413086,lNh,Late Noachian highland unit,13487.7314453,37,8419068.689208984375000
1170928.602854772238061,25682337356.666889190673828,mNhm,Middle Noachian highland massif unit,31322.0917969,41,1873161.479003906250000
590655.330569499637932,12662255237.693910598754883,HNt,Hesperian and Noachian transition unit,15438.2968750,19,2889481.606689453125000
3919506.475847198627889,173646020849.670257568359375,eNh,Early Noachian highland unit,212557.9687500,15,14599337.820922851562500
1164557.158702392363921,28384349039.867057800292969,Hto,Hesperian transition outflow unit,34681.8828125,24,1289054.372802734375000
413786.016295882291161,10913381710.266336441040039,AHi,Amazonian and Hesperian impact unit,13288.3847656,2,7913061.843505859375000
623112.528497055638582,20080447477.821533203125000,AHi,Amazonian and Hesperian impact unit,24466.7128906,2,7913061.843505859375000
551771.853090131189674,16411080346.334392547607422,eNh,Early Noachian highland unit,19996.7109375,15,14599337.820922851562500
458978.382587596192025,14493971782.325134277343750,AHi,Amazonian and Hesperian impact unit,17641.7597656,2,7913061.843505859375000
515282.314274717413355,16220054496.544475555419922,AHi,Amazonian and Hesperian impact unit,19756.1132812,2,7913061.843505859375000
300468.491056014026981,5502091108.864342689514160,eNh,Early Noachian highland unit,6689.6669922,15,14599337.820922851562500
1251176.818279395578429,81036031704.731719970703125,lAvf,Late Amazonian volcanic field unit,98882.1015625,31,312533.448242187500000
417291.724787999468390,10360895697.933931350708008,mNh,Middle Noachian highland unit,12597.5585938,40,32313488.187866210937500
629280.924267800175585,27617848669.276241302490234,AHi,Amazonian and Hesperian impact unit,33612.1875000,2,7913061.843505859375000
640800.574988014879636,23764919173.025394439697266,AHi,Amazonian and Hesperian impact unit,28919.6035156,2,7913061.843505859375000
1093052.446970851859078,62348696553.399665832519531,eHv,Early Hesperian volcanic unit,75926.7421875,14,5791988.775878906250000
1123538.704144997987896,45191057861.252410888671875,Aa,Amazonian apron unit,54992.5664062,1,998728.253906250000000
76978311.801459908485413,4505353723824.766601562500000,mNh,Middle Noachian highland unit,4950128.5000000,40,32313488.187866210937500
